Feature,Importance
user_mean_rating,0.6093705262469424
user_avg_rating,0.36027896961593897
user_rating_std,0.014110825907635351
engagement_percentile,0.004436505072680785
user_rating_count,0.004356230690623014
popularity_percentile,0.0014765617488222505
rating_count,0.0014640963757630479
members,0.0014337880059227268
user_median_rating,0.0011448749356558039
genre_diversity,0.0006921047477209868
Harem,0.00026285178715984434
Hentai,0.0002593317574975036
Ecchi,0.00020609098031110502
episodes,0.00012582619885399086
Shounen,3.391533285611012e-05
Dementia,2.9864005757463544e-05
Yaoi,2.9199138956322905e-05
Romance,2.497631188865443e-05
Drama,2.2314831060888974e-05
Psychological,2.2009036354963137e-05
Sci-Fi,2.02822010297681e-05
type_Movie,1.544200569455138e-05
Comedy,1.3430190204075668e-05
type_TV,1.2058472619063552e-05
Adventure,1.1047850403058017e-05
Parody,1.0868140390053029e-05
Fantasy,9.297986675349162e-06
School,8.732609572876903e-06
type_OVA,8.396545533208135e-06
Game,7.929574127218098e-06
Mecha,7.676589858327078e-06
Mystery,7.164905762604763e-06
Supernatural,6.976678879266912e-06
Slice of Life,6.630970370549993e-06
Shounen Ai,6.463206441147525e-06
Shoujo,6.385017683848864e-06
Action,5.497783763472285e-06
Horror,5.491814836089751e-06
Thriller,5.483906828210705e-06
Seinen,4.575290442721887e-06
type_Special,4.441349363901632e-06
Historical,4.059605282493533e-06
Military,3.637214071746323e-06
Space,3.597198098177574e-06
Vampire,3.2102229432688157e-06
Police,3.014638291051848e-06
Super Power,2.9620725993811096e-06
Demons,2.728129338076794e-06
Martial Arts,2.001402469417794e-06
type_ONA,1.7685430828953059e-06
Kids,1.3848273193078083e-06
Music,1.3241073881420403e-06
Magic,1.2617957242794369e-06
Shoujo Ai,1.0466458889189442e-06
Sports,8.707787742416935e-07
Samurai,7.446684315469064e-07
Yuri,6.23518066158467e-07
Josei,2.8451728616023964e-07
Cars,2.5601477588340326e-07
type_Music,8.828128737808156e-08
Unnamed: 10,0.0
type_Unknown,0.0
